CustomerID,FirstName,LastName,FullName,Gender,Email,Phone,City,Region,DateOfBirth,RegistrationDate,MembershipTier,IsActive
CUST-000001,Dana,Al-Khalifa,Dana Al-Khalifa,F,dana.alkhalifa3494@email.com,+966582514792,Yanbu,Madinah,1982-09-23,2025-08-24,Gold,1
CUST-000002,Lama,Al-Ghamdi,Lama Al-Ghamdi,F,lama.alghamdi4956@email.com,+966521044673,Khobar,Eastern,1976-11-11,2022-06-20,Silver,1
CUST-000003,Ahmed,Al-Sheikh,Ahmed Al-Sheikh,M,ahmed.alsheikh2728@email.com,+966539464916,Najran,Najran,2003-02-20,2024-11-08,Platinum,1
CUST-000004,Badr,Al-Sheikh,Badr Al-Sheikh,M,badr.alsheikh6657@email.com,+966566202510,Najran,Najran,2004-07-30,2024-08-10,Bronze,1
CUST-000005,Nasser,Al-Sheikh,Nasser Al-Sheikh,M,nasser.alsheikh8282@email.com,+966531145335,Kharj,Riyadh,1972-09-05,2021-06-17,Silver,1
CUST-000006,Sana,Al-Suwailem,Sana Al-Suwailem,F,sana.alsuwailem8758@email.com,+966516859640,Jubail,Eastern,1978-11-04,2025-10-17,Platinum,1
CUST-000007,Ghada,Al-Shammari,Ghada Al-Shammari,F,ghada.alshammari8012@email.com,+966586500718,Makkah,Makkah,1990-11-02,2024-10-26,Gold,1
CUST-000008,Heba,Al-Habib,Heba Al-Habib,F,heba.alhabib2799@email.com,+966587293269,Kharj,Riyadh,1989-08-19,2024-06-26,Gold,1
CUST-000009,Khadija,Al-Bishi,Khadija Al-Bishi,F,khadija.albishi2914@email.com,+966534448288,Arar,Northern Borders,1968-09-16,2025-10-08,Silver,1
CUST-000010,Badr,Al-Habib,Badr Al-Habib,M,badr.alhabib910@email.com,+966539940066,Diriyah,Riyadh,1965-10-31,2024-05-28,Silver,1
CUST-000011,Huda,Al-Tamimi,Huda Al-Tamimi,F,huda.altamimi5108@email.com,+966522724636,Taif,Makkah,2014-07-27,2023-06-19,Silver,0
CUST-000012,Salman,Al-Baqmi,Salman Al-Baqmi,M,salman.albaqmi1665@email.com,+966522062236,Unaizah,Qassim,2006-03-15,2019-06-05,Silver,1
CUST-000013,Sarah,Al-Qahtani,Sarah Al-Qahtani,F,sarah.alqahtani6580@email.com,+966514299102,Sakaka,Al Jawf,1982-05-19,2021-02-11,Gold,1
CUST-000014,Reem,Al-Baqmi,Reem Al-Baqmi,F,reem.albaqmi5255@email.com,+966531654167,Kharj,Riyadh,1977-01-10,2019-01-26,Silver,1
CUST-000015,Yousef,Al-Khalifa,Yousef Al-Khalifa,M,yousef.alkhalifa1636@email.com,+966507832808,Kharj,Riyadh,1992-05-06,2023-10-18,Silver,0
CUST-000016,Lina,Al-Khalifa,Lina Al-Khalifa,F,lina.alkhalifa7081@email.com,+966536124211,Sakaka,Al Jawf,1989-03-16,2022-05-04,Platinum,1
CUST-000017,Nawaf,Al-Hussein,Nawaf Al-Hussein,M,nawaf.alhussein6662@email.com,+966595477850,Jeddah,Makkah,1990-08-12,2019-03-02,Silver,1
CUST-000018,Hatem,Al-Mahmoud,Hatem Al-Mahmoud,M,hatem.almahmoud376@email.com,+966562755593,Makkah,Makkah,1994-04-23,2024-11-13,Gold,1
CUST-000019,Ahmed,Al-Otaibi,Ahmed Al-Otaibi,M,ahmed.alotaibi8626@email.com,+966523684980,Al Baha,Al Baha,1982-06-07,2025-03-26,Gold,1
CUST-000020,Samar,Al-Dosari,Samar Al-Dosari,F,samar.aldosari2064@email.com,+966522404566,Hail,Hail,2004-10-14,2022-06-21,Silver,1
CUST-000021,Manal,Al-Mahmoud,Manal Al-Mahmoud,F,manal.almahmoud2393@email.com,+966509876458,Qatif,Eastern,1977-05-13,2023-11-09,Silver,1
CUST-000022,Abdulaziz,Al-Rashid,Abdulaziz Al-Rashid,M,abdulaziz.alrashid9318@email.com,+966533334588,Hofuf,Eastern,1991-07-21,2019-08-05,Platinum,1
CUST-000023,Aisha,Al-Tamimi,Aisha Al-Tamimi,F,aisha.altamimi2389@email.com,+966501782262,Taif,Makkah,2001-07-25,2020-05-18,Silver,1
CUST-000024,Nada,Al-Dosari,Nada Al-Dosari,F,nada.aldosari9118@email.com,+966573048441,Madinah,Madinah,1972-12-26,2021-10-12,Bronze,1
CUST-000025,Lama,Al-Habib,Lama Al-Habib,F,lama.alhabib5427@email.com,+966581387017,Diriyah,Riyadh,1973-03-23,2024-11-17,Silver,1
CUST-000026,Aisha,Al-Anazi,Aisha Al-Anazi,F,aisha.alanazi2843@email.com,+966525398103,Riyadh,Riyadh,1961-02-23,2023-07-26,Silver,1
CUST-000027,Maha,Al-Khalifa,Maha Al-Khalifa,F,maha.alkhalifa9945@email.com,+966551698906,Qatif,Eastern,2011-12-30,2025-01-09,Platinum,1
CUST-000028,Amal,Al-Malki,Amal Al-Malki,F,amal.almalki3347@email.com,+966502573171,Dammam,Eastern,1994-11-22,2024-06-21,Platinum,1
CUST-000029,Abeer,Al-Dosari,Abeer Al-Dosari,F,abeer.aldosari9157@email.com,+966579906069,Hail,Hail,2005-08-19,2020-09-15,Gold,1
CUST-000030,Amal,Al-Tamimi,Amal Al-Tamimi,F,amal.altamimi3894@email.com,+966514456166,Arar,Northern Borders,1994-12-06,2023-11-02,Silver,0
CUST-000031,Waleed,Al-Sheikh,Waleed Al-Sheikh,M,waleed.alsheikh378@email.com,+966512638914,Unaizah,Qassim,1977-05-12,2020-09-13,Bronze,1
CUST-000032,Manal,Al-Hussein,Manal Al-Hussein,F,manal.alhussein7328@email.com,+966511258768,Najran,Najran,1979-03-24,2021-09-01,Bronze,1
CUST-000033,Salman,Al-Bassam,Salman Al-Bassam,M,salman.albassam8537@email.com,+966596413204,Dammam,Eastern,1982-01-22,2024-09-06,Gold,1
CUST-000034,Dana,Al-Qahtani,Dana Al-Qahtani,F,dana.alqahtani2000@email.com,+966548710832,Al Baha,Al Baha,2010-07-17,2023-12-02,Silver,1
CUST-000035,Khadija,Al-Dosari,Khadija Al-Dosari,F,khadija.aldosari9643@email.com,+966552559874,Yanbu,Madinah,1996-09-04,2023-08-07,Gold,1
CUST-000036,Nada,Al-Shehri,Nada Al-Shehri,F,nada.alshehri6453@email.com,+966571131307,Najran,Najran,2009-12-07,2020-05-28,Gold,1
CUST-000037,Manal,Al-Khaldi,Manal Al-Khaldi,F,manal.alkhaldi6781@email.com,+966557375305,Sakaka,Al Jawf,1973-05-22,2023-10-06,Silver,0
CUST-000038,Jasser,Al-Habib,Jasser Al-Habib,M,jasser.alhabib2700@email.com,+966581027018,Hail,Hail,1969-12-09,2020-09-07,Bronze,1
CUST-000039,Reem,Al-Otaibi,Reem Al-Otaibi,F,reem.alotaibi8426@email.com,+966558165446,Hail,Hail,2008-01-05,2022-12-10,Gold,1
CUST-000040,Bayan,Al-Suwailem,Bayan Al-Suwailem,F,bayan.alsuwailem8232@email.com,+966507697861,Tabuk,Tabuk,1984-12-27,2024-06-26,Gold,1
CUST-000041,Maha,Al-Bassam,Maha Al-Bassam,F,maha.albassam5333@email.com,+966598968236,Unaizah,Qassim,1990-01-11,2021-03-03,Bronze,1
