EmployeeID,FirstName,LastName,FullName,Gender,Email,Phone,StoreID,Department,JobTitle,HireDate,Salary,EmploymentType,IsActive
EMP-00001,Talal,Al-Malki,Talal Al-Malki,M,talal.almalki723@srg.com.sa,+966567477326,SRG-001,Customer Service,Customer Service Lead,2016-06-24,8874,Full-Time,1
EMP-00002,Saad,Al-Fahad,Saad Al-Fahad,M,saad.alfahad16@srg.com.sa,+966527878299,SRG-001,Marketing,Marketing Manager,2017-08-04,22972,Full-Time,1
EMP-00003,Abeer,Al-Ghamdi,Abeer Al-Ghamdi,F,abeer.alghamdi337@srg.com.sa,+966587375499,SRG-001,Security,Loss Prevention Officer,2022-11-03,6488,Full-Time,0
EMP-00004,Faten,Al-Sabah,Faten Al-Sabah,F,faten.alsabah295@srg.com.sa,+966532516313,SRG-001,Sales Floor,Sales Associate,2019-11-22,6772,Part-Time,1
EMP-00005,Yousef,Al-Shammari,Yousef Al-Shammari,M,yousef.alshammari301@srg.com.sa,+966557288789,SRG-001,Management,Store Manager,2016-06-26,9838,Part-Time,1
EMP-00006,Sami,Al-Suwailem,Sami Al-Suwailem,M,sami.alsuwailem892@srg.com.sa,+966565040453,SRG-001,Marketing,Visual Merchandiser,2018-03-03,5496,Part-Time,1
EMP-00007,Faisal,Al-Khalifa,Faisal Al-Khalifa,M,faisal.alkhalifa923@srg.com.sa,+966543650391,SRG-001,Management,Operations Manager,2020-11-01,23245,Full-Time,1
EMP-00008,Wafa,Al-Anazi,Wafa Al-Anazi,F,wafa.alanazi204@srg.com.sa,+966569106886,SRG-001,Maintenance,Cleaner,2020-08-28,4237,Full-Time,1
EMP-00009,Wafa,Al-Bishi,Wafa Al-Bishi,F,wafa.albishi282@srg.com.sa,+966501822825,SRG-001,Marketing,Marketing Manager,2020-01-27,20969,Contract,0
EMP-00010,Manal,Al-Habib,Manal Al-Habib,F,manal.alhabib636@srg.com.sa,+966543294774,SRG-001,Management,Assistant Manager,2025-06-08,14230,Full-Time,0
EMP-00011,Yasser,Al-Mutawa,Yasser Al-Mutawa,M,yasser.almutawa93@srg.com.sa,+966546481437,SRG-001,HR,HR Coordinator,2025-06-24,3538,Part-Time,1
EMP-00012,Saad,Al-Mutawa,Saad Al-Mutawa,M,saad.almutawa264@srg.com.sa,+966575951651,SRG-001,IT Support,IT Manager,2024-09-09,13391,Full-Time,1
EMP-00013,Sarah,Al-Dosari,Sarah Al-Dosari,F,sarah.aldosari810@srg.com.sa,+966561233516,SRG-001,Customer Service,Service Manager,2022-09-12,10959,Full-Time,1
EMP-00014,Yousef,Al-Bishi,Yousef Al-Bishi,M,yousef.albishi483@srg.com.sa,+966506503032,SRG-001,Management,Operations Manager,2021-02-22,15661,Contract,1
EMP-00015,Saud,Al-Saadi,Saud Al-Saadi,M,saud.alsaadi969@srg.com.sa,+966506106390,SRG-001,HR,Recruiter,2022-02-05,3185,Part-Time,1
EMP-00016,Faisal,Al-Habib,Faisal Al-Habib,M,faisal.alhabib973@srg.com.sa,+966588031780,SRG-001,IT Support,IT Technician,2022-08-12,5746,Contract,0
EMP-00017,Waleed,Al-Suwailem,Waleed Al-Suwailem,M,waleed.alsuwailem707@srg.com.sa,+966554645180,SRG-001,Cashier,Senior Cashier,2025-07-09,5268,Part-Time,1
EMP-00018,Jasser,Al-Bishi,Jasser Al-Bishi,M,jasser.albishi63@srg.com.sa,+966565628522,SRG-001,Cashier,Head Cashier,2021-09-21,7938,Full-Time,1
EMP-00019,Sarah,Al-Saleh,Sarah Al-Saleh,F,sarah.alsaleh250@srg.com.sa,+966524442778,SRG-001,Customer Service,Service Manager,2025-01-02,18928,Full-Time,1
EMP-00020,Talal,Al-Mutairi,Talal Al-Mutairi,M,talal.almutairi880@srg.com.sa,+966523180906,SRG-001,Customer Service,Customer Service Lead,2018-10-01,7271,Contract,1
EMP-00021,Fahad,Al-Saleh,Fahad Al-Saleh,M,fahad.alsaleh244@srg.com.sa,+966596431983,SRG-001,Sales Floor,Senior Sales Associate,2016-06-26,11458,Full-Time,1
EMP-00022,Aisha,Al-Dosari,Aisha Al-Dosari,F,aisha.aldosari460@srg.com.sa,+966559610704,SRG-001,Maintenance,Cleaner,2017-12-03,4950,Contract,1
EMP-00023,Mona,Al-Shehri,Mona Al-Shehri,F,mona.alshehri988@srg.com.sa,+966502020480,SRG-001,Marketing,Marketing Coordinator,2024-05-15,5635,Part-Time,1
EMP-00024,Rasha,Al-Harbi,Rasha Al-Harbi,F,rasha.alharbi152@srg.com.sa,+966513117143,SRG-001,HR,Training Officer,2017-02-11,5491,Full-Time,1
